"","inv_ctry","total_graduates","total_inventors","female_inventors","female_graduates","female_share_inventors","female_share_graduates"
"1","AT",12822.057,12668,681,6524.876,0.0537574992106094,0.508879035555683
"2","AU",14434.695,11552,930,7078.638,0.080505540166205,0.490390548605287
"3","BE",15408,12807,1436,6848,0.112126180994768,0.444444444444444
"4","CA",31904.502,60533,5202,16170.325,0.0859365965671617,0.506835210905345
"5","CH",15156,28349,2347,6419,0.0827895163850577,0.423528635523885
"6","CL",1075,108,8,476.5,0.0740740740740741,0.443255813953488
"7","CO",1830,88,25,804,0.284090909090909,0.439344262295082
"8","CZ",9099,1644,50,5474,0.0304136253041363,0.601604571930981
"9","DE",121874,87776,5366,61959,0.0611328837039738,0.508385709831465
"10","DK",10540,9135,828,5560,0.0906403940886699,0.527514231499051
"11","EE",759,143,10,506,0.0699300699300699,0.666666666666667
"12","ES",54528,5150,786,30292,0.152621359223301,0.555531103286385
"13","FI",8930,14837,1204,5076,0.0811484801509739,0.568421052631579
"14","FR",143973,66226,8347,66736.4,0.12603811191979,0.463534134872511
"15","GB",105763.12,39571,2962,61128.03,0.0748527962396705,0.577971130201151
"16","GR",6989,383,32,3461,0.0835509138381201,0.495206753469738
"17","HU",6174,1770,124,3233,0.0700564971751412,0.523647554259799
"18","IE",3777,3806,247,1788,0.0648975302154493,0.473391580619539
"19","IL",10068,33419,3137,5395,0.093868757293755,0.53585617798967
"20","IS",170,131,18,101,0.137404580152672,0.594117647058824
"21","IT",50308,13293,1263,30215,0.0950124125479576,0.600600302138825
"22","JP",28672,120892,6668,6665,0.055156668762201,0.232456752232143
"23","KR",35325,252898,50939,16755,0.201421126303885,0.474309978768578
"24","LU",167,275,23,80,0.0836363636363636,0.479041916167665
"25","MX",18295,1930,205,9274,0.106217616580311,0.50691445750205
"26","NL",22553,26488,1873,9381,0.0707112654787073,0.415953531680929
"27","NO",4861,2348,116,2455,0.0494037478705281,0.505040115202633
"28","NZ",4089.334,2406,172,2174.166,0.0714879467996675,0.531667503803798
"29","PL",72015,2184,220,51919,0.100732600732601,0.720947024925363
"30","PT",13283,691,134,8374,0.193921852387844,0.630429872769706
"31","SE",8112,18411,1297,4317,0.0704470153712455,0.532174556213018
"32","SI",1722,286,15,1093,0.0524475524475524,0.63472706155633
"33","SK",3020,98,2,1907,0.0204081632653061,0.631456953642384
"34","TR",25553,1209,120,14713,0.0992555831265509,0.575783665323054
"35","US",251952,1430145,127292,123786,0.0890063594950162,0.491307868165365
